Fundamentos da Computação
Fundamentos da Interação Humano computador
Lógica de Programação
Matemática Básica
Sistemas de Informação
Tópicos em Tecnologia e Sociedade
Design de Interfaces
Engenharia de Software
Fundamentos de Matemática Discreta
Organização de Computadores
Programação Modular
Projeto e Modelagem de Banco de Dados
Análise e Projeto de Software
Design de Interação
Fundamentos de Estatística Exploratória
Implementação e Operação de Bancos de Dados
Programação Orientada a Objetos
Sistemas Operacionais
Desenvolvimento de Aplicativos Web I
Estruturas de Dados 
Fundamentos de Inferência Estatística
Gerencia de Projetos
Princípios e Padrões de Projeto
Programação em Bancos de Dados
Desenvolvimento de Aplicativos Web II
Empreendimentos Empresariais
Metodologia Científica
Princípios e Padrões de Arquitetura
Qualidade de Software
Redes de Computadores
Seminários(Trabalho de Conclusão de Curso)
Tópicos em Ciência da Computação
Tópicos em Desenvolvimento de Sistemas
Tópicos em Desenvolvimento de Aplicativos
Tópicos em Análise de Sistemas
Tópicos em Bancos de Dados
Lógica de Programação
Lógica de Programação
Fundamentos da Computação
Fundamentos da Computação
Desenvolvimento Baseado em Objetos
Bancos de Dados
Engenharia de Software
Desenvolvimento de Sistemas I
Desenvolvimento de Sistemas II
